Year,Author,Journal ,Title,Article Definition,Procedural Definition Coder 1,Process Definintion Coder 1,Unsure Coder 1,Procedural Definition Coder 2,Process Definintion Coder 2,Unsure Coder 2,Include,Notes
2015,"Alessandri, Jérôme; Lattal, Kennon A; Cançado, Carlos R X",Journal of the Experimental Analysis of Behavior,The recurrence of negatively reinforced responding of humans.,"Such response recurrence might develop, for example, (a) when current, alternative, responses are no longer reinforced, (b) when there is a context change from the one in which extinctino was effected (e.g., Bouton, 2004), and (c) when, after exposure to extinction, the reinforcer that previously maintained responding is presented response-independently (e.g., Reid, 1958).  Increases in the rate of the previously reinforced responses in (a), (b) and (c) relative to the low rates of that response in the prior phase have been termed, respectively, resurgence, renewal, reinstatement.",,1,,1,,,0,Coding constrained to (a) within the definition. 
2015,"Cançado, C. R. X., Abreu-Rodrigues, J., & Aló, R. M.",Mexican Journal of Behavior Analysis,Reinforcement rate and resurgence: A parametric analysis,"Experimental analyses of resurgence typically involve a three-phase procedure. In the first, Response A is reinforced. In the second, reinforcement of Response A is discontinued and an alternative Response, B, is reinforced. In the third, reinforcement of Response B also is discontinued. Resurgence is defined as an increase in Response A in the third phase relative to its occurrence in the terminal sessions of the second phase. ",1,,,1,,,1,
2015,"Fujimaki, Shun; Lattal, Kennon A.; Sakagami, Takayuki",Mexican Journal of Behavior Analysis,A further look at reinforcement rate and resurgence,Resurgence is the recurrence of a previously reinforced and subsequently extinguished response when a more recently reinforced response is extinguished,,1,,,1,,1,
2015,"Kestner, Katie; Redner, Ryan; Watkins, Erin E.; Poling, Alan",The Psychological Record,The effects of punishment on resurgence in laboratory rats,"Resurgence is typically demonstrated using a three-phase experimental design. During the first phase, a response (B1) is established and reinforced (e.g., a left-lever press is reinforced under a variable-interval [VI] 30-s schedule). In phase two the initial response (B1) is extinguished, and an alternative response (B2) is then reinforced (e.g., extinction is arranged for left-lever responses and right-lever responses are reinforced under a VI 30-s schedule. The third phase is a resurgence test in which extinction is arranged for both responses (e.g., for left-lever and right-lever presses). Resurgence is evident if the level of B1 responding increases substantially during the resurgence test relative to its level at the end of the second phase.",1,,,1,,,1,
2015,"Kincaid, Stephanie L; Lattal, Kennon A; Spence, Jake",Behavioural Processes,Super-resurgence: ABA renewal increases resurgence.,Two of the most extensivelty stduied of these are resurgence and renewal. The former is a label given by Epstein and Skinner (1980) to the reoccurrence of a previously reinforced response when a more recently reinforced response is extinguished.,,1,,,1,,1,
2015,"Lambert, Joseph M; Bloom, Sarah E; Samaha, Andrew L; Dayton, Elizabeth; Rodewald, Andrew M",Journal of Applied Behavior Analysis,Serial alternative response training as intervention for target response resurgence.,Resurgence is a form of relapse in which a previously extinguished response recovers after an alternative response is placed on extinction,,1,,,1,,1,
2015,"Moriyama, Tetsumi; Kazama, Lisa; Obata, Satoshi; Nakamura, Tatsuhiro",Mexican Journal of Behavior Analysis,Resurgence of chicks’ key-peck responding with an imprinted stimulus or food as reinforcer,Resurgence is defined as a phenomenon in which an operant response that has undergone extinction reoccurs when a second operant response that has replaced it itself undergoes extinction,,1,,,1,,1,
2015,"Okouchi, H.",Mexican Journal of Behavior Analysis,Resurgence of two-response sequences punished by point-loss response cost in humans,"Resurgence is the recurrence of a previously reinforced response when an alternative, more recently reinforced, response is no longer reinforced",,1,,,1,,1,
2015,"Schepers, Scott T; Bouton, Mark E",Journal of Experimental Psychology: Animal Learning and Cognition,Effects of reinforcer distribution during response elimination on resurgence of an instrumental behavior.,Resurgence is said to occur when an extinguished behavior returns after an alternative behavior that replaced it is also extinguished.,,1,,,1,,1,
2015,"Shahan, Timothy A; Craig, Andrew R; Sweeney, Mary M",Behavioural Brain Research,Resurgence of sucrose and cocaine seeking in free-feeding rats.,An increase in an extinguished operant behavior generated by loss of an alternative source of reinforcement is known as resurgence.,,1,,,1,,1,
